num_attrs,ms_taken_before,ms_taken_after
num_attrs,ms_taken_before,ms_taken_after
60,0.20000000298023224,0.5
64,0.20000000298023224,0.5
69,0.4000000059604645,0.5999999940395355
74,0.3999999910593033,0.699999988079071
80,0.4000000059604645,0.800000011920929
86,0.5,0.9000000059604645
92,0.6000000089406967,1
99,0.7000000029802322,1.1000000089406967
106,0.7000000029802322,1.2000000029802322
114,0.7999999970197678,1.2999999970197678
123,1,1.4000000059604645
132,1.1000000089406967,2.5
142,1.2999999970197678,2.0999999940395355
152,1.5,3
163,1.8999999910593033,2.7000000029802322
176,2.5,3
189,2.7000000029802322,3.2999999970197678
203,3.199999988079071,3.7000000029802322
218,3.6000000089406967,4.799999997019768
234,3.6000000089406967,5.300000011920929
251,4.5999999940395355,5.800000011920929
270,5.299999997019768,6.5999999940395355
290,6.399999991059303,7.299999997019768
311,8,8.099999994039536
334,9.900000005960464,10.600000008940697
359,11.600000008940697,13
386,12.700000002980232,13.299999997019768
414,14.399999991059303,14.599999994039536
445,16.900000005960464,17.100000008940697
478,20.600000008940697,18.700000002980232
513,24.899999991059303,21
552,30.100000008940697,31
592,37.599999994039536,37.599999994039536
636,43.6000000089407,36.599999994039536
684,53.29999999701977,40.79999999701977
734,63.5,46.3999999910593
789,78.59999999403954,52.900000005960464
847,94,62.400000005960464
910,117.09999999403954,85.3999999910593
978,140.70000000298023,98.20000000298023
1050,172.5,110.3999999910593
1128,210.5,128.40000000596046
1212,260.40000000596046,143.09999999403954
1302,328.5,165.5
1398,391,230.5
1502,475.59999999403954,261.79999999701977
1614,577,272.30000001192093
1733,718,328.1000000089407
1862,881.1999999880791,372.59999999403954
2000,1070.3999999910593,404.20000000298023
